regno,rno,sname,br,sem,e1_cid,e2_cid,e3_cid
MUT22CB030,30,DEEPA,CSE B,7,CB195A,CB195B,CB195C
MUT22CB031,31,ELVIN,CSE B,7,CB196A,CB196B,CB196C
MUT22CB032,32,FEMINA,CSE B,7,CB197A,CB197B,CB197C
MUT22CB033,33,GOKUL,CSE B,7,CB198A,CB198B,CB198C
MUT22CB034,34,HARI,CSE B,7,CB199A,CB199B,CB199C
MUT22CB035,35,INDU,CSE B,7,CB200A,CB200B,CB200C
MUT22CB036,36,JISHNU,CSE B,7,CB201A,CB201B,CB201C
MUT22CB037,37,KEERTHY,CSE B,7,CB202A,CB202B,CB202C
MUT22CB038,38,LAL,CSE B,7,CB203A,CB203B,CB203C
MUT22CB039,39,MEERA,CSE B,7,CB204A,CB204B,CB204C
MUT22CB040,40,NIKHIL,CSE B,7,CB205A,CB205B,CB205C
MUT22CB041,41,OLIVE,CSE B,7,CB206A,CB206B,CB206C
MUT22CB042,42,PRANAV,CSE B,7,CB207A,CB207B,CB207C
MUT22CB043,43,QUEENY,CSE B,7,CB208A,CB208B,CB208C
MUT22CB044,44,ROHAN,CSE B,7,CB209A,CB209B,CB209C
MUT22CB045,45,SHEENA,CSE B,7,CB210A,CB210B,CB210C
MUT22CB046,46,TARUN,CSE B,7,CB211A,CB211B,CB211C
MUT22CB047,47,UMA,CSE B,7,CB212A,CB212B,CB212C
MUT22CB048,48,VISHNU,CSE B,7,CB213A,CB213B,CB213C
MUT22CB049,49,WILMA,CSE B,7,CB214A,CB214B,CB214C
MUT22CB050,50,XAVIER,CSE B,7,CB215A,CB215B,CB215C
MUT22CB051,51,YASIR,CSE B,7,CB216A,CB216B,CB216C
MUT22CB052,52,ZARA,CSE B,7,CB217A,CB217B,CB217C
MUT22CB053,53,AARON,CSE B,7,CB218A,CB218B,CB218C
MUT22CB054,54,BINDU,CSE B,7,CB219A,CB219B,CB219C
MUT22CB055,55,CATHY,CSE B,7,CB220A,CB220B,CB220C
MUT22CB001,56,ARUN,CSE B,7,CB166A,CB166B,CB166C
MUT22CB002,57,BHAVYA,CSE B,7,CB167A,CB167B,CB167C
MUT22CB003,58,CHARAN,CSE B,7,CB168A,CB168B,CB168C
MUT22CB004,59,DEVIKA,CSE B,7,CB169A,CB169B,CB169C
MUT22CB005,60,EMIL,CSE B,7,CB170A,CB170B,CB170C
MUT22CB006,61,FARHAN,CSE B,7,CB171A,CB171B,CB171C
MUT22CB007,62,GOPI,CSE B,7,CB172A,CB172B,CB172C
MUT22CB008,63,HARITHA,CSE B,7,CB173A,CB173B,CB173C
MUT22CB009,64,IRFAN,CSE B,7,CB174A,CB174B,CB174C
MUT22CB010,65,JENNY,CSE B,7,CB175A,CB175B,CB175C
MUT22CB011,66,KIRAN,CSE B,7,CB176A,CB176B,CB176C
MUT22CB012,67,LIYA,CSE B,7,CB177A,CB177B,CB177C
MUT22CB013,68,MANOJ,CSE B,7,CB178A,CB178B,CB178C
MUT22CB014,69,NEHA,CSE B,7,CB179A,CB179B,CB179C
MUT22CB015,70,OMKAR,CSE B,7,CB180A,CB180B,CB180C
MUT22CB016,71,POOJA,CSE B,7,CB181A,CB181B,CB181C
MUT22CB017,72,QURAT,CSE B,7,CB182A,CB182B,CB182C
MUT22CB018,73,RAHUL,CSE B,7,CB183A,CB183B,CB183C
MUT22CB019,74,SARATH,CSE B,7,CB184A,CB184B,CB184C
MUT22CB020,75,TESSA,CSE B,7,CB185A,CB185B,CB185C
